0,487,115
1,86,327
2,701,650
3,225,822
4,100,523
5,396,733
6,714,491
7,839,664
8,707,263
9,424,56
10,774,435
11,707,263
12,393,80
13,74,1
14,271,438
15,577,365
16,41,498
17,185,643
18,798,300
19,188,58
20,80,393
21,89,688
22,356,53
23,483,110
24,650,574
25,205,408
26,260,89
27,783,379
28,104,793
29,503,647
30,254,200
31,616,636
32,422,673
33,306,153
34,542,452
35,744,572
36,232,266
37,135,388
38,18,501
39,80,691
40,736,729
41,16,498
42,708,829
43,684,398
44,346,705
45,484,42
46,157,316
47,99,785
48,174,759
49,206,144
50,809,380
51,178,799
52,248,566
53,22,182
54,274,733
55,303,227
56,386,355
57,252,284
58,667,19
59,297,260
60,692,308
61,502,406
62,779,133
63,698,97
64,109,478
65,773,503
66,814,118,747
67,344,589
68,732,626
69,296,75
70,209,619
71,344,486
72,261,709
73,617,89
74,13,86
75,440,692
76,552,91
77,229,242
78,81,832
79,423,678
80,20,393
81,78,480
82,787,290
83,647,503
84,799,674
85,835,321
86,1,74,327
87,845,269
88,186,261
89,378,21
90,217,471
91,76,247
92,711,440
93,111,200
94,368,124
95,575,27
96,65,800
97,281,698
98,461,726
99,785,47
100,706,4
101,739,392
102,754,599
103,219,755
104,793,28
105,786,824
106,439,404
107,158,340
108,412,455
109,64,386
110,154,286
111,93,254
112,647,83
113,103,784
114,545,287
115,93,816
116,129,258
117,517,605
118,66,814
119,530,354
120,834,289
121,829,708
122,822,3
123,796,442
124,94,457
125,121,708
126,773,698
127,312,97,698
128,535,739
129,288,184
130,768,712
131,507,152
132,819,622
133,250,62
134,402,764
135,37,291
136,484,682
137,399,629
138,579,533
139,794,339
140,201,240
141,785,207,322
142,506,489
143,232,568,747
144,802,267
145,843,320
146,680,665
147,767,405
148,491,6
149,522,606
150,443,359
151,818,386
152,131,753
153,532,306,428
154,110,286
155,381,683
156,131,741
157,316,635
158,507,107
159,192,305
160,634,342
161,454,461
162,542,398
163,46,686
164,648,810
165,700,512
166,830,753
167,307,170
168,632,368
169,618,787
170,778,167
